"","probes"
"493","cg21123160"
"494","cg10527010"
"495","cg09022422"
"496","cg16435571"
"497","cg11021744"
"498","cg07466705"
"499","cg00162231"
"500","cg21864304"
"501","cg24290948"
"502","cg08815286"
"503","cg24189559"
"504","cg04235837"
"505","cg08102508"
"506","cg01119686"
"507","cg10461547"
"508","cg10366178"
"509","cg18603228"
"510","cg18406197"
"511","cg12700904"
"512","cg00201234"
"513","cg11630135"
"514","cg02861441"
"515","cg09538633"
"516","cg19554555"
"517","cg12146386"
"518","cg21121136"
"519","cg25528121"
"520","cg24170085"
"521","cg15863826"
"522","cg10742605"
"523","cg24668089"
"524","cg05654049"
"525","cg24962827"
"526","cg01442844"
"527","cg16542478"
"528","cg14966362"
"529","cg24216220"
"530","cg03496122"
"531","cg26365534"
"532","cg03363248"
"533","cg16943529"
"534","cg11828621"
"535","cg25377802"
"536","cg08276289"
"537","cg18310412"
"538","cg18405727"
"539","cg12338417"
"540","cg06651450"
"541","cg04737283"
"542","cg11184748"
"543","cg00325599"
"544","cg20751361"
"545","cg25870420"
"546","cg20885179"
"547","cg02067846"
"548","cg00030422"
"549","cg12177220"
"550","cg16874743"
"551","cg07139438"
"552","cg11235602"
"553","cg10755058"
"554","cg02782426"
"555","cg05489143"
"556","cg03336678"
"557","cg24672173"
"558","cg04558973"
"559","cg21327694"
"560","cg19612450"
"561","cg16415785"
"562","cg17621718"
"563","cg04322483"
"564","cg25968378"
"565","cg03540622"
"566","cg10361095"
"567","cg25129124"
"568","cg25635144"
"569","cg09008417"
"570","cg01291029"
"571","cg17619311"
"572","cg04474990"
"573","cg06369090"
"574","cg05471523"
"575","cg04741853"
"576","cg16589135"
"577","cg19235095"
"578","cg08846783"
"579","cg25805709"
"580","cg10263370"
"581","cg25574812"
"582","cg24837680"
"583","cg25743481"
"584","cg24888989"
"585","cg00702638"
"586","cg17410922"
"587","cg17658717"
"588","cg06636831"
"589","cg16975587"
"590","cg25930780"
"591","cg05840612"
"592","cg08665961"
"593","cg24672271"
"594","cg07279281"
"595","cg10775230"
"596","cg23971915"
"597","cg03646234"
"598","cg13303179"
"599","cg00817731"
"600","cg05717204"
"601","cg13451127"
"602","cg01406312"
"603","cg03459811"
"604","cg00158683"
"605","cg08772752"
"606","cg24330379"
"607","cg26468478"
"608","cg03352189"
"609","cg03540175"
"610","cg15078681"
"611","cg25335544"
"612","cg13468002"
"613","cg24363298"
"614","cg16468914"
"615","cg02337349"
"616","cg10546523"
"617","cg22093095"
"618","cg05118960"
"619","cg04743654"
"620","cg09682796"
"621","cg06088032"
"622","cg11799511"
"623","cg09087110"
"624","cg07391485"
"625","cg19447156"
"626","cg04457317"
"627","cg04453050"
"628","cg22621867"
"629","cg04210566"
"630","cg15287092"
"631","cg01966117"
"632","cg15147215"
"633","cg07757611"
"634","cg09455182"
"635","cg07774045"
"636","cg17900356"
"637","cg13352455"
"638","cg00345443"
"639","cg01296889"
"640","cg10701252"
"641","cg06311863"
"642","cg06793267"
"643","cg05116002"
"644","cg16768441"
"645","cg26433722"
"646","cg05438508"
"647","cg11603443"
"648","cg26015087"
"649","cg03187299"
"650","cg23069167"
"651","cg15264020"
"652","cg22618215"
"653","cg11602901"
"654","cg00503302"
"655","cg10542584"
"656","cg10997479"
"657","cg23825335"
"658","cg08275638"
"659","cg17580935"
"660","cg21186449"
"661","cg22620797"
"662","cg17277892"
"663","cg15023858"
"664","cg12431087"
"665","cg13026730"
"666","cg01025398"
"667","cg25664220"
"668","cg14753334"
"669","cg04563195"
"670","cg07638884"
"671","cg16718624"
"672","cg08512168"
"673","cg07284519"
"674","cg04562217"
"675","cg15325658"
"676","cg21741562"
"677","cg05942161"
"678","cg01822130"
"679","cg19968403"
"680","cg20276377"
"681","cg22092811"
"682","cg18337222"
"683","cg19113686"
"684","cg19447630"
"685","cg05645404"
"686","cg19401033"
"687","cg21530552"
"688","cg17216759"
"689","cg23260991"
"690","cg07873980"
"691","cg03621988"
"692","cg10741399"
"693","cg14218447"
"694","cg27507412"
"695","cg15688396"
"696","cg02741226"
"697","cg27533604"
"698","cg00836482"
"699","cg10943458"
"700","cg18159840"
"701","cg04138502"
"702","cg16531585"
"703","cg04583043"
"704","cg26125625"
"705","cg17304646"
"706","cg00344900"
"707","cg16342439"
"708","cg22600868"
"709","cg11873667"
"710","cg09686443"
"711","cg11229862"
"712","cg20952286"
"713","cg19628148"
"714","cg07303187"
"715","cg06698795"
"716","cg17911539"
"717","cg04527018"
"718","cg26312807"
"719","cg18100347"
"720","cg15694422"
"721","cg05270106"
"722","cg13731338"
"723","cg27182106"
"724","cg14212504"
"725","cg07398614"
"726","cg19380499"
"727","cg04467162"
"728","cg17468185"
"729","cg19547144"
"730","cg04072910"
"731","cg18862481"
"732","cg11940285"
"733","cg02700891"
"734","cg07969602"
"735","cg21858485"
"736","cg09685182"
"737","cg13581422"
"738","cg16441144"
"739","cg18115215"
"740","cg09090724"
"741","cg19430967"
"742","cg04359584"
"743","cg27014380"
"744","cg24512138"
"745","cg05393726"
"746","cg07437373"
"747","cg24675998"
"748","cg23201032"
"749","cg00329270"
"750","cg25836094"
"751","cg15739717"
"752","cg22304507"
"753","cg26111761"
"754","cg15965134"
"755","cg11325267"
"756","cg15787616"
"757","cg16921083"
"758","cg09373148"
"759","cg04554240"
"760","cg19592439"
"761","cg15720669"
"762","cg17802942"
"763","cg27326452"
"764","cg19851029"
"765","cg02806645"
"766","cg03772909"
"767","cg24872425"
"768","cg02930239"
"769","cg02608145"
"770","cg12497564"
"771","cg01755562"
"772","cg20979852"
"773","cg11235498"
"774","cg00908291"
"775","cg24295125"
"776","cg06671690"
"777","cg03382743"
"778","cg18768784"
"779","cg05937194"
"780","cg19709625"
"781","cg15852572"
"782","cg19442495"
"783","cg08774368"
"784","cg08988364"
"785","cg00025647"
"786","cg04931256"
"787","cg02630214"
"788","cg22614239"
"789","cg15105326"
"790","cg03881775"
"791","cg00154357"
"792","cg08013557"
"793","cg21127068"
"794","cg12595013"
"795","cg05716671"
"796","cg08066943"
"797","cg21926402"
"798","cg15043384"
"799","cg20498859"
"800","cg16619395"
"801","cg08447525"
"802","cg14750844"
"803","cg23209255"
"804","cg22955973"
"805","cg20216802"
"806","cg26082557"
"807","cg08980237"
"808","cg04682135"
"809","cg16703882"
"810","cg25977493"
"811","cg03269060"
"812","cg26149032"
"813","cg20216950"
"814","cg15997088"
"815","cg17094985"
"816","cg04470066"
"817","cg04008429"
"818","cg04132452"
"819","cg16496687"
"820","cg06020130"
"821","cg04481181"
"822","cg19434777"
"823","cg09380805"
"824","cg16306190"
"825","cg11145160"
"826","cg14051544"
"827","cg05937737"
"828","cg24599434"
"829","cg06304401"
"830","cg09342567"
"831","cg06508320"
"832","cg02119363"
"833","cg13473356"
"834","cg04894619"
"835","cg19882663"
"836","cg19268498"
"837","cg08121925"
"838","cg23978504"
"839","cg16661554"
"840","cg02573703"
"841","cg20106776"
"842","cg05513983"
"843","cg04859466"
"844","cg16331603"
"845","cg20724810"
"846","cg02510164"
"847","cg10347032"
"848","cg12749468"
"849","cg00333034"
"850","cg24950182"
"851","cg18721026"
"852","cg09618015"
"853","cg19098796"
"854","cg08154107"
"855","cg10800953"
"856","cg00786761"
"857","cg22462726"
"858","cg03470180"
"859","cg07272305"
"860","cg09591072"
"861","cg24892362"
"862","cg07581811"
"863","cg24003225"
"864","cg25234159"
"865","cg12121643"
"866","cg24695608"
"867","cg02567082"
"868","cg12435415"
"869","cg05882938"
"870","cg07681728"
"871","cg16927040"
"872","cg02164046"
"873","cg08969912"
"874","cg12701112"
"875","cg04797648"
"876","cg18780257"
"877","cg21197774"
"878","cg23207710"
"879","cg17393267"
"880","cg08002883"
"881","cg16419066"
"882","cg03284879"
"883","cg27427514"
"884","cg11324650"
"885","cg03053875"
"886","cg04689082"
"887","cg22613854"
"888","cg02504211"
"889","cg18473978"
"890","cg13403369"
"891","cg14483431"
"892","cg08877188"
"893","cg22496559"
"894","cg21090033"
"895","cg02728595"
"896","cg12101108"
"897","cg05674437"
"898","cg22668421"
"899","cg23719207"
"900","cg21853348"
"901","cg03735847"
"902","cg22481263"
"903","cg23205003"
"904","cg02397514"
"905","cg00447632"
"906","cg08122545"
"907","cg23625715"
"908","cg26222311"
"909","cg10955566"
"910","cg17094363"
"911","cg14161399"
"912","cg13362546"
"913","cg21810793"
"914","cg06778273"
"915","cg23394673"
"916","cg09315878"
"917","cg14531564"
"918","cg07115976"
"919","cg04719903"
"920","cg25594899"
"921","cg12407057"
"922","cg22497741"
"923","cg23244095"
"924","cg08289140"
"925","cg11648594"
"926","cg14180718"
"927","cg25590392"
"928","cg24315049"
"929","cg13103143"
"930","cg09107007"
"931","cg04781796"
"932","cg21422740"
"933","cg25154424"
"934","cg16653138"
"935","cg02361803"
"936","cg02912476"
"937","cg04347414"
"938","cg01514357"
"939","cg16718276"
"940","cg14856698"
"941","cg00026222"
"942","cg17165158"
"943","cg08863830"
"944","cg06875179"
"945","cg27054514"
"946","cg00988396"
"947","cg20826345"
"948","cg00532449"
"949","cg17838553"
"950","cg07836831"
"951","cg20430847"
"952","cg17755964"
"953","cg06839900"
"954","cg15923947"
"955","cg17806162"
"956","cg21391741"
"957","cg04866029"
"958","cg14216876"
"959","cg15522425"
"960","cg15325070"
"961","cg20849957"
"962","cg04551318"
"963","cg05000860"
"964","cg15515265"
"965","cg20848343"
"966","cg05139515"
"967","cg24669191"
"968","cg09074856"
"969","cg03969902"
"970","cg12140144"
"971","cg05303132"
"972","cg04241652"
"973","cg17239558"
"974","cg07348768"
"975","cg07597386"
"976","cg26426080"
"977","cg21383687"
"978","cg05343184"
"979","cg24873695"
"980","cg13175786"
"981","cg19896590"
"982","cg18966232"
"983","cg15491247"
"984","cg17286074"
"985","cg20387569"
"986","cg07109490"
"987","cg00571809"
"988","cg20263392"
"989","cg16033941"
"990","cg08719577"
"991","cg21000072"
"992","cg01434649"
"993","cg20677901"
"994","cg00565688"
"995","cg17496659"
"996","cg19783114"
"997","cg17804348"
"998","cg23666378"
"999","cg10625090"
"1000","cg20615379"
"1001","cg16679832"
"1002","cg20011075"
"1003","cg25469923"
"1004","cg02897008"
"1005","cg27056742"
"1006","cg04571522"
"1007","cg21271015"
"1008","cg15484532"
"1009","cg15605704"
"1010","cg15580684"
"1011","cg22025570"
"1012","cg09257020"
"1013","cg19158553"
"1014","cg16617795"
"1015","cg07599881"
"1016","cg00000957"
"1017","cg04898195"
"1018","cg17718960"
"1019","cg09556918"
"1020","cg25143235"
"1021","cg05371688"
"1022","cg16519705"
"1023","cg17175208"
"1024","cg24539779"
"1025","cg05133314"
"1026","cg06834177"
"1027","cg21220721"
"1028","cg23603891"
"1029","cg17826013"
"1030","cg24864511"
"1031","cg03397716"
"1032","cg24153044"
"1033","cg16290123"
"1034","cg26669159"
"1035","cg11517468"
"1036","cg02294758"
"1037","cg21942218"
"1038","cg07113230"
"1039","cg17243628"
"1040","cg13683667"
"1041","cg18976437"
"1042","cg24859236"
"1043","cg23098018"
"1044","cg27399414"
"1045","cg24551579"
"1046","cg26985289"
"1047","cg23616100"
"1048","cg10796749"
"1049","cg03994053"
"1050","cg16050974"
"1051","cg15090005"
"1052","cg11800379"
"1053","cg11222217"
"1054","cg01399485"
"1055","cg07966265"
"1056","cg17158913"
"1057","cg10491460"
"1058","cg08648047"
"1059","cg00953777"
"1060","cg01554529"
"1061","cg19741456"
"1062","cg24598449"
"1063","cg23671600"
"1064","cg14968838"
"1065","cg06868562"
"1066","cg02448276"
"1067","cg01807377"
"1068","cg05121790"
"1069","cg07166679"
"1070","cg03129172"
"1071","cg02086195"
"1072","cg09936426"
"1073","cg14091531"
"1074","cg22155914"
"1075","cg05346841"
"1076","cg24593694"
"1077","cg03773198"
"1078","cg20014094"
"1079","cg00296458"
"1080","cg04889800"
"1081","cg04438595"
"1082","cg11727653"
"1083","cg21214613"
"1084","cg11235583"
"1085","cg01719793"
"1086","cg03969515"
"1087","cg02987928"
"1088","cg14981532"
"1089","cg18862597"
"1090","cg02574421"
"1091","cg16718986"
"1092","cg05055766"
"1093","cg19282714"
"1094","cg09313801"
"1095","cg10432422"
"1096","cg26516532"
"1097","cg21908208"
"1098","cg11807529"
"1099","cg21578219"
"1100","cg22333960"
"1101","cg25597894"
"1102","cg06662140"
"1103","cg07536847"
"1104","cg21170920"
"1105","cg12601945"
"1106","cg08126203"
"1107","cg25769417"
"1108","cg15082028"
"1109","cg19637330"
"1110","cg26220594"
"1111","cg16823064"
"1112","cg12065228"
"1113","cg11962640"
"1114","cg11247289"
"1115","cg06377106"
"1116","cg00346208"
"1117","cg16023415"
"1118","cg07596568"
"1119","cg09511914"
"1120","cg03754311"
"1121","cg12768681"
"1122","cg02582387"
"1123","cg24455365"
"1124","cg15613048"
"1125","cg09793172"
"1126","cg04902671"
"1127","cg23029526"
"1128","cg13554489"
"1129","cg22154616"
"1130","cg18236421"
"1131","cg07499899"
"1132","cg14515812"
"1133","cg13950625"
"1134","cg15601228"
"1135","cg17456100"
"1136","cg26529645"
"1137","cg06794253"
"1138","cg10838091"
"1139","cg13437164"
"1140","cg11225745"
"1141","cg06974961"
"1142","cg06177627"
"1143","cg24451422"
"1144","cg06033387"
"1145","cg19276111"
"1146","cg14564939"
"1147","cg06649280"
"1148","cg12394377"
"1149","cg13847963"
"1150","cg19697558"
"1151","cg17854320"
"1152","cg18128887"
"1153","cg21859019"
"1154","cg10012595"
"1155","cg17599471"
"1156","cg15598442"
"1157","cg20674490"
"1158","cg15963463"
"1159","cg05656688"
"1160","cg11018723"
"1161","cg26421310"
"1162","cg02970551"
"1163","cg25882256"
"1164","cg04250451"
"1165","cg13305657"
"1166","cg24006721"
"1167","cg22153728"
"1168","cg07973655"
"1169","cg10706230"
"1170","cg23931558"
"1171","cg19400000"
"1172","cg13793178"
"1173","cg02386921"
"1174","cg04258380"
"1175","cg02924562"
"1176","cg07766612"
"1177","cg01568347"
"1178","cg04280647"
"1179","cg25018357"
"1180","cg23602478"
"1181","cg11070193"
"1182","cg08133631"
"1183","cg22374940"
"1184","cg24348240"
"1185","cg07786675"
"1186","cg13374701"
"1187","cg13782884"
"1188","cg24481381"
"1189","cg19588399"
"1190","cg12742432"
"1191","cg05436231"
"1192","cg06057576"
"1193","cg01803759"
"1194","cg19257356"
"1195","cg22433862"
"1196","cg24311947"
"1197","cg20003692"
"1198","cg19715410"
"1199","cg08706732"
"1200","cg22698996"
"1201","cg04933208"
"1202","cg26884027"
"1203","cg03894975"
"1204","cg21929771"
"1205","cg26341619"
"1206","cg17825384"
"1207","cg27559870"
"1208","cg16817668"
"1209","cg26833120"
"1210","cg24839533"
"1211","cg14157855"
"1212","cg24533678"
"1213","cg04881103"
"1214","cg20466166"
"1215","cg09586322"
"1216","cg14258143"
"1217","cg04503267"
"1218","cg06473843"
"1219","cg10842753"
"1220","cg17147878"
"1221","cg07092593"
"1222","cg02455803"
"1223","cg00082497"
"1224","cg08859095"
"1225","cg22604123"
"1226","cg22007227"
"1227","cg24364143"
"1228","cg11197101"
"1229","cg09804503"
"1230","cg11189532"
"1231","cg13870776"
"1232","cg26524353"
"1233","cg12598340"
"1234","cg22166728"
"1235","cg11251349"
"1236","cg10628982"
"1237","cg17161743"
"1238","cg18187148"
"1239","cg20314038"
"1240","cg26150071"
"1241","cg02031245"
"1242","cg21102477"
"1243","cg22697574"
"1244","cg04025150"
"1245","cg04486873"
"1246","cg10106804"
"1247","cg04205715"
"1248","cg08727443"
"1249","cg03888579"
"1250","cg07105947"
"1251","cg17474422"
"1252","cg05845757"
"1253","cg19163067"
"1254","cg07167423"
"1255","cg07091016"
"1256","cg16144447"
"1257","cg24352618"
"1258","cg09890687"
"1259","cg08458912"
"1260","cg19373545"
"1261","cg04510788"
"1262","cg08004425"
"1263","cg10126715"
"1264","cg19206040"
"1265","cg19727439"
"1266","cg17411994"
"1267","cg20772512"
"1268","cg13448605"
"1269","cg13452258"
"1270","cg00664416"
"1271","cg17949727"
"1272","cg17077180"
"1273","cg05336094"
"1274","cg03753481"
"1275","cg12789062"
"1276","cg17412602"
"1277","cg26164879"
"1278","cg02983950"
"1279","cg04406436"
"1280","cg10626816"
"1281","cg21816308"
"1282","cg23048481"
"1283","cg06546406"
"1284","cg10702770"
"1285","cg13514129"
"1286","cg09232440"
"1287","cg14415733"
"1288","cg16651196"
"1289","cg00034101"
"1290","cg23037132"
"1291","cg10052561"
"1292","cg15322430"
"1293","cg19320564"
"1294","cg15728256"
"1295","cg13458335"
"1296","cg04366039"
"1297","cg19694978"
"1298","cg15978014"
"1299","cg10101749"
"1300","cg02576915"
"1301","cg07575466"
"1302","cg07367434"
"1303","cg06721528"
"1304","cg16989117"
"1305","cg03470396"
"1306","cg06953252"
"1307","cg20771287"
"1308","cg06158040"
"1309","cg06379876"
"1310","cg19900615"
"1311","cg06626599"
"1312","cg18917399"
"1313","cg15123881"
"1314","cg13472192"
"1315","cg19092368"
"1316","cg15012766"
"1317","cg00290994"
"1318","cg04290779"
"1319","cg21415643"
"1320","cg02331143"
"1321","cg10197057"
"1322","cg15976404"
"1323","cg24634568"
"1324","cg27232866"
"1325","cg10511249"
"1326","cg15961211"
"1327","cg05125578"
"1328","cg03971454"
"1329","cg08928753"
"1330","cg18856478"
"1331","cg23671221"
"1332","cg26114324"
"1333","cg04877567"
"1334","cg00069860"
"1335","cg03984347"
"1336","cg13985198"
"1337","cg10431481"
"1338","cg08462306"
"1339","cg10026473"
"1340","cg13951491"
"1341","cg03335125"
"1342","cg06787764"
"1343","cg15696662"
"1344","cg06776173"
"1345","cg21692450"
"1346","cg00346985"
"1347","cg19375537"
"1348","cg01801182"
"1349","cg24465685"
"1350","cg07374403"
"1351","cg00255821"
"1352","cg04363624"
"1353","cg18815943"
"1354","cg01281911"
"1355","cg23115387"
"1356","cg11856897"
"1357","cg07376547"
"1358","cg08258582"
"1359","cg25137711"
"1360","cg03607680"
"1361","cg08456859"
"1362","cg02623400"
